angle,energy_objective,penalized_score,stress_constraint,x1,x2,x3,y1,y2,y3
10.0,13146.56233777357,-13146.56233777357,230.56375,10.0,10.0,1.1362594145580223,13.08186176806075,15.0,15.0
10.0,13128.730199655985,-13128.730199655985,227.2,10.0,10.0,1.0,14.221977735457097,15.0,15.0
10.0,13117.667456798586,-13117.667456798586,241.17475000000002,10.34648119498403,10.0,1.0,10.0,13.663526133724202,14.793476057565638
10.0,13104.258979667433,-13104.258979667433,233.23525,11.021275856183044,10.0,1.757705792011854,15.0,15.0,15.0
10.0,13083.894719189668,-13083.894719189668,230.95525,10.0,15.0,1.6694560735224904,12.080788220680681,13.33144083465407,15.0
10.0,13039.94003080196,-13039.94003080196,235.03300000000002,11.42450576617735,10.0,1.0,15.0,14.49346535399688,10.0
10.838661417493652,13029.47008719912,-13029.47008719912,229.468,15.0,11.020511144358624,1.7543937350662202,13.8778768314807,15.0,15.0
12.081242211719076,13015.117254189146,-13015.117254189146,229.0,10.0,13.416315288121355,1.0,11.684595001623855,12.044931247419283,12.470732494950338
10.0,13011.542884166875,-13011.542884166875,236.8015,13.979564921767054,10.0,2.074635573476577,12.900956082217109,14.077792874101988,14.249482106263036
10.0,13008.7188347384,-13008.7188347384,231.6835,10.0,14.857765995491555,3.392799425217225,15.0,13.743311384833984,13.662007663232263
10.0,13008.040723842558,-13008.040723842558,242.29075,10.0,11.932638290549876,3.2750846553783024,12.200025407590452,10.661437725983244,15.0
15.939404006725695,13003.195232308453,-13003.195232308453,236.34025,10.0,11.84204465048999,2.307182182002217,12.735582485361753,14.358485557702506,14.404986813014924
10.70029632230188,12995.495760556027,-12995.495760556027,240.04525,13.268383072513098,11.548883663246036,1.9097444177738505,10.0,15.0,15.0
10.0,12994.715243658067,-12994.715243658067,249.427,10.0,14.521379917043582,1.0,10.237666161518483,15.0,10.0
14.498872035962513,12927.825150775338,-12927.825150775338,238.02775,10.0,10.0,2.892577307304701,13.811635011932411,12.202782147664069,15.0
15.853360782738417,12905.803068921321,-12905.803068921321,241.76125,10.45250083613472,15.0,4.307664627555591,15.0,15.0,15.0
16.747048258387608,12898.48389001329,-12898.48389001329,249.58599999999998,11.508316250848075,12.311935564208481,1.0,10.838094968054003,10.937856869785676,15.0
10.0,12891.454902374302,-12891.454902374302,241.63825,15.0,12.857073621881197,1.0,14.829216818984735,15.0,10.0
20.353998689286016,12876.62610937001,-12876.62610937001,252.08125,11.886596680475384,10.0,1.0,10.0,12.154850627691394,13.950984465826982
10.0,12876.405146384774,-12876.405146384774,245.39950000000002,12.697085004869566,10.0,3.6994449761182118,10.0,15.0,15.0
10.0,12828.398797280384,-12828.398797280384,246.793,12.79825710942971,10.0,3.856233141624145,10.29153008374345,10.736679899982674,13.980552373140684
13.802654360694325,12815.760599708616,-12815.760599708616,251.527,10.0,10.0,4.387393367115217,10.0,15.0,11.289050376888902
10.0,12789.669419552716,-12789.669419552716,255.92575,10.0,10.0,3.8332262067563123,10.0,10.0,10.0
10.932586139258369,12774.866011307677,-12774.866011307677,250.21675,15.0,15.0,1.0,10.413290177675592,13.912522945847346,11.555855404809462
13.143561312516228,12699.155260073667,-12699.155260073667,253.58499999999998,15.0,13.473905056668213,1.0,10.0,15.0,10.0
10.0,12686.413575022552,-12686.413575022552,267.75175,10.0,10.0,4.893028314397329,10.0,13.967703000062317,10.0
22.738325610840043,12462.100507691594,-12462.100507691594,269.49850000000004,15.0,13.629539947319488,1.0,10.301883767650981,12.65357102487576,10.0
28.936223750138304,12584.640980013646,897779.8090199895,296.33500000000004,13.48783963891158,10.680406382357447,1.0,12.705372745660735,15.0,13.851958116820406
24.249116926411688,12584.830736342748,1780282.2497636555,304.9405,10.0,10.0,1.0,15.0,15.0,15.0
29.833484618047706,12481.958003862826,2367880.043996141,309.499,13.665157325940887,10.0,1.0810827652011112,15.0,15.0,13.979869076488228






